"Config","N_train","N_test","N_taxa","Upsampled","Species_included","Metric_Group","Metric_Name","Model_Score","Baseline_Score"
"Baseline (all taxa)",445,191,4,FALSE,TRUE,"Discrete Labels","Overall Accuracy",0.7068,0.6073
"Baseline (all taxa)",445,191,4,FALSE,TRUE,"Discrete Labels","Cohen's Kappa",0.4664,0
"Baseline (all taxa)",445,191,4,FALSE,TRUE,"Macro Averages","Macro-Precision",0.5224,0.1215
"Baseline (all taxa)",445,191,4,FALSE,TRUE,"Macro Averages","Macro-Recall",0.3722,0.2
"Baseline (all taxa)",445,191,4,FALSE,TRUE,"Macro Averages","Macro-F1 Score",0.3694,0.1511
"Baseline (all taxa)",445,191,4,FALSE,TRUE,"Weighted Averages","Weighted-Precision",0.7232,0.3688
"Baseline (all taxa)",445,191,4,FALSE,TRUE,"Weighted Averages","Weighted-Recall",0.7068,0.6073
"Baseline (all taxa)",445,191,4,FALSE,TRUE,"Weighted Averages","Weighted-F1 Score",0.6904,0.459
"Upsampled (all taxa)",445,191,4,TRUE,TRUE,"Discrete Labels","Overall Accuracy",0.6021,0.6073
"Upsampled (all taxa)",445,191,4,TRUE,TRUE,"Discrete Labels","Cohen's Kappa",0.3778,0
"Upsampled (all taxa)",445,191,4,TRUE,TRUE,"Macro Averages","Macro-Precision",0.4083,0.1215
"Upsampled (all taxa)",445,191,4,TRUE,TRUE,"Macro Averages","Macro-Recall",0.5265,0.2
"Upsampled (all taxa)",445,191,4,TRUE,TRUE,"Macro Averages","Macro-F1 Score",0.4183,0.1511
"Upsampled (all taxa)",445,191,4,TRUE,TRUE,"Weighted Averages","Weighted-Precision",0.6958,0.3688
"Upsampled (all taxa)",445,191,4,TRUE,TRUE,"Weighted Averages","Weighted-Recall",0.6021,0.6073
"Upsampled (all taxa)",445,191,4,TRUE,TRUE,"Weighted Averages","Weighted-F1 Score",0.6272,0.459
"Drop Insecta",249,108,3,FALSE,TRUE,"Discrete Labels","Overall Accuracy",0.5648,0.4259
"Drop Insecta",249,108,3,FALSE,TRUE,"Discrete Labels","Cohen's Kappa",0.2459,0
"Drop Insecta",249,108,3,FALSE,TRUE,"Macro Averages","Macro-Precision",0.2415,0.0852
"Drop Insecta",249,108,3,FALSE,TRUE,"Macro Averages","Macro-Recall",0.2676,0.2
"Drop Insecta",249,108,3,FALSE,TRUE,"Macro Averages","Macro-F1 Score",0.246,0.1195
"Drop Insecta",249,108,3,FALSE,TRUE,"Weighted Averages","Weighted-Precision",0.5077,0.1814
"Drop Insecta",249,108,3,FALSE,TRUE,"Weighted Averages","Weighted-Recall",0.5648,0.4259
"Drop Insecta",249,108,3,FALSE,TRUE,"Weighted Averages","Weighted-F1 Score",0.5181,0.2544
"Drop Mammalia",237,102,3,FALSE,TRUE,"Discrete Labels","Overall Accuracy",0.8333,0.7647
"Drop Mammalia",237,102,3,FALSE,TRUE,"Discrete Labels","Cohen's Kappa",0.588,0
"Drop Mammalia",237,102,3,FALSE,TRUE,"Macro Averages","Macro-Precision",0.6183,0.1529
"Drop Mammalia",237,102,3,FALSE,TRUE,"Macro Averages","Macro-Recall",0.4963,0.2
"Drop Mammalia",237,102,3,FALSE,TRUE,"Macro Averages","Macro-F1 Score",0.5179,0.1733
"Drop Mammalia",237,102,3,FALSE,TRUE,"Weighted Averages","Weighted-Precision",0.8549,0.5848
"Drop Mammalia",237,102,3,FALSE,TRUE,"Weighted Averages","Weighted-Recall",0.8333,0.7647
"Drop Mammalia",237,102,3,FALSE,TRUE,"Weighted Averages","Weighted-F1 Score",0.8319,0.6627
"Drop Insecta + Mammalia",41,19,2,FALSE,TRUE,"Discrete Labels","Overall Accuracy",0.4211,0.4211
"Drop Insecta + Mammalia",41,19,2,FALSE,TRUE,"Discrete Labels","Cohen's Kappa",0,0
"Drop Insecta + Mammalia",41,19,2,FALSE,TRUE,"Macro Averages","Macro-Precision",0.1404,0.1404
"Drop Insecta + Mammalia",41,19,2,FALSE,TRUE,"Macro Averages","Macro-Recall",0.3333,0.3333
"Drop Insecta + Mammalia",41,19,2,FALSE,TRUE,"Macro Averages","Macro-F1 Score",0.1975,0.1975
"Drop Insecta + Mammalia",41,19,2,FALSE,TRUE,"Weighted Averages","Weighted-Precision",0.1773,0.1773
"Drop Insecta + Mammalia",41,19,2,FALSE,TRUE,"Weighted Averages","Weighted-Recall",0.4211,0.4211
"Drop Insecta + Mammalia",41,19,2,FALSE,TRUE,"Weighted Averages","Weighted-F1 Score",0.2495,0.2495
"Drop Insecta, upsampled",249,108,3,TRUE,TRUE,"Discrete Labels","Overall Accuracy",0.3426,0.4259
"Drop Insecta, upsampled",249,108,3,TRUE,TRUE,"Discrete Labels","Cohen's Kappa",0.1935,0
"Drop Insecta, upsampled",249,108,3,TRUE,TRUE,"Macro Averages","Macro-Precision",0.241,0.0852
"Drop Insecta, upsampled",249,108,3,TRUE,TRUE,"Macro Averages","Macro-Recall",0.5089,0.2
"Drop Insecta, upsampled",249,108,3,TRUE,TRUE,"Macro Averages","Macro-F1 Score",0.2839,0.1195
"Drop Insecta, upsampled",249,108,3,TRUE,TRUE,"Weighted Averages","Weighted-Precision",0.3048,0.1814
"Drop Insecta, upsampled",249,108,3,TRUE,TRUE,"Weighted Averages","Weighted-Recall",0.3426,0.4259
"Drop Insecta, upsampled",249,108,3,TRUE,TRUE,"Weighted Averages","Weighted-F1 Score",0.2983,0.2544
"Drop Mammalia, upsampled",237,102,3,TRUE,TRUE,"Discrete Labels","Overall Accuracy",0.7353,0.7647
"Drop Mammalia, upsampled",237,102,3,TRUE,TRUE,"Discrete Labels","Cohen's Kappa",0.4246,0
"Drop Mammalia, upsampled",237,102,3,TRUE,TRUE,"Macro Averages","Macro-Precision",0.389,0.1529
"Drop Mammalia, upsampled",237,102,3,TRUE,TRUE,"Macro Averages","Macro-Recall",0.6549,0.2
"Drop Mammalia, upsampled",237,102,3,TRUE,TRUE,"Macro Averages","Macro-F1 Score",0.4407,0.1733
"Drop Mammalia, upsampled",237,102,3,TRUE,TRUE,"Weighted Averages","Weighted-Precision",0.7874,0.5848
"Drop Mammalia, upsampled",237,102,3,TRUE,TRUE,"Weighted Averages","Weighted-Recall",0.7353,0.7647
"Drop Mammalia, upsampled",237,102,3,TRUE,TRUE,"Weighted Averages","Weighted-F1 Score",0.7515,0.6627
